orf1	orf2	name1	name2	gi_score_exp1	se_exp1	gi_score_overlaps_zero_exp1	gi_score_exp2	se_exp2	gi_score_overlaps_zero_exp2	correlation_exp1	correlation_exp2	prob_interaction_median_exp1	prob_interaction_median_exp2	prob_interaction	prob_aggravating	prob_alleviating	prob_discordant	prob_no_interaction	prob_concordant
RVBD1304	RVBD1304	atpB	atpB	-3.39	0.09	False	-8.08	0.46	False	1.0	1.0	0.98535	1.0	1.0	1.0	0.0	0.0	0.0	1.0
RVBD0050	RVBD3682	ponA1	ponA2	-13.94	0.86	False	-17.65	0.97	False	0.107	0.222	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
RVBD0392c	RVBD1854c	ndhA	ndh	-9.67	0.5	False	-12.3	0.84	False	0.357	0.215	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0
RVBD2754c	RVBD2764c	thyX	thyA	-3.59	0.11	False	-6.45	0.17	False	0.498	0.404	0.99592	0.99859	0.9999	0.9999	0.0	0.0	0.0001	0.9999
RVBD2794c	RVBD2794c	pptT	pptT	-3.6	0.8	False	-7.11	0.63	False	1.0	1.0	0.99612	0.99991	0.99985	0.99985	0.0	0.0	0.00015	0.99985
RVBD1822	RVBD1822	pgsA2	pgsA2	-6.44	1.05	False	-3.25	0.49	False	1.0	1.0	1.0	0.06079	0.99959	0.99959	0.0	0.0	0.00041	0.99959
RVBD1025	RVBD1025	rv1025	rv1025	-3.15	0.13	False	-2.57	0.3	False	1.0	1.0	0.94159	0.01981	0.9985	0.9985	0.0	0.0	0.0015	0.9985
RVBD0392c	RVBD0392c	ndhA	ndhA	-1.81	0.07	False	-5.31	0.13	False	1.0	1.0	0.0367	0.92638	0.97865	0.97865	0.0	0.0	0.02135	0.97865
RVBD2193	RVBD2193	ctaE	ctaE	-1.95	0.11	False	-0.02	0.19	True	1.0	1.0	0.05839	0.00302	0.96004	0.89053	0.0	0.06951	0.03996	0.89053
RVBD2193	RVBD2200c	ctaE	ctaC	2.38	0.05	False	3.96	0.09	False	0.569	0.679	0.34416	0.29885	0.87608	0.0	0.87608	0.0	0.12392	0.87608
RVBD1304	RVBD3795	atpB	embB	0.52	0.06	False	3.35	0.1	False	0.148	-0.05	0.00292	0.09639	0.86218	0.0	0.86218	0.0	0.13782	0.86218
RVBD0050	RVBD2764c	ponA1	thyA	-1.55	0.11	False	-4.43	0.14	False	0.428	0.365	0.01705	0.49655	0.62285	0.62285	0.0	0.0	0.37715	0.62285
RVBD2447c	RVBD2447c	folC	folC	-2.3	0.38	False	-2.82	0.19	False	1.0	1.0	0.19398	0.02897	0.12881	0.12881	0.0	0.0	0.87119	0.12881
RVBD2764c	RVBD2764c	thyA	thyA	-1.83	0.16	False	-1.27	0.12	False	1.0	1.0	0.03896	0.00467	0.11996	0.11996	0.0	0.0	0.88004	0.11996
RVBD1854c	RVBD1854c	ndh	ndh	1.51	0.12	False	1.93	0.26	False	1.0	1.0	0.02016	0.01022	0.09395	0.0	0.09395	0.0	0.90605	0.09395
RVBD0392c	RVBD2200c	ndhA	ctaC	-1.79	0.08	False	-1.64	0.1	False	0.33	0.161	0.03455	0.00633	0.07283	0.07283	0.0	0.0	0.92717	0.07283
RVBD2764c	RVBD3795	thyA	embB	0.47	0.11	False	2.17	0.1	False	0.379	0.257	0.00278	0.01389	0.07224	0.0	0.07224	0.0	0.92776	0.07224
RVBD0392c	RVBD2754c	ndhA	thyX	-1.13	0.05	False	-3.21	0.12	False	0.56	0.544	0.00633	0.05697	0.04804	0.04804	0.0	0.0	0.95196	0.04804
RVBD0050	RVBD2754c	ponA1	thyX	-0.63	0.06	False	-2.67	0.1	False	0.333	0.281	0.00294	0.02291	0.03189	0.03189	0.0	0.0	0.96811	0.03189
RVBD0392c	RVBD1304	ndhA	atpB	-1.56	0.05	False	-3.06	0.11	False	0.387	0.278	0.0176	0.04409	0.0309	0.0309	0.0	0.0	0.9691	0.0309
RVBD1822	RVBD1854c	pgsA2	ndh	0.52	0.09	False	1.78	0.19	False	0.238	0.332	0.0029	0.00853	0.02628	0.0	0.02628	0.0	0.97372	0.02628
RVBD0392c	RVBD3795	ndhA	embB	-1.27	0.11	False	-0.53	0.11	False	0.294	0.079	0.00853	0.00322	0.02578	0.02578	0.0	0.0	0.97422	0.02578
RVBD2200c	RVBD3795	ctaC	embB	0.47	0.13	False	1.62	0.12	False	0.388	0.166	0.00276	0.00721	0.02189	0.0	0.02189	0.0	0.97811	0.02189
RVBD2193	RVBD3795	ctaE	embB	0.13	0.12	True	1.35	0.12	False	0.356	0.105	0.00222	0.00558	0.02149	0.0	0.02144	5e-05	0.97851	0.02144
RVBD3682	RVBD3682	ponA2	ponA2	0.71	0.06	False	0.4	0.08	False	1.0	1.0	0.00367	0.00323	0.01691	0.0	0.01691	0.0	0.98309	0.01691
RVBD3795	RVBD3795	embB	embB	-0.37	0.43	True	-2.62	0.58	False	1.0	1.0	0.00237	0.02118	0.01688	0.01649	0.0	0.00039	0.98312	0.01649
RVBD2200c	RVBD2200c	ctaC	ctaC	-1.09	0.14	False	-0.03	0.17	True	1.0	1.0	0.00592	0.00302	0.01682	0.01571	0.0	0.0011	0.98318	0.01571
RVBD2200c	RVBD2764c	ctaC	thyA	0.18	0.1	True	1.23	0.1	False	0.392	0.253	0.00227	0.00505	0.01673	0.0	0.01672	1e-05	0.98327	0.01672
