strain,experiment,condition,atc,generations,replicate,count_file_path
H37Rv,tb_lowcas9_100ng,P0,minus,0.0,1,example_data/counts/exp1/counts_P0_minus.txt
H37Rv,tb_lowcas9_100ng,P0.5,minus,2.6,1,example_data/counts/exp1/counts_P0_5_minus.txt
H37Rv,tb_lowcas9_100ng,P1,minus,5.4,1,example_data/counts/exp1/counts_P1_minus.txt
H37Rv,tb_lowcas9_100ng,P1.5,minus,8.1,1,example_data/counts/exp1/counts_P1_5_minus.txt
H37Rv,tb_lowcas9_100ng,P2,minus,10.8,1,example_data/counts/exp1/counts_P2_minus.txt
H37Rv,tb_lowcas9_100ng,P3,minus,16.2,1,example_data/counts/exp1/counts_P3_minus.txt
H37Rv,tb_lowcas9_100ng,P4,minus,21.6,1,example_data/counts/exp1/counts_P4_minus.txt
H37Rv,tb_lowcas9_100ng,P5,minus,27.1,1,example_data/counts/exp1/counts_P5_minus.txt
H37Rv,tb_lowcas9_100ng,P6,minus,32.5,1,example_data/counts/exp1/counts_P6_minus.txt
H37Rv,tb_lowcas9_100ng,P0,plus,0.0,1,example_data/counts/exp1/counts_P0_plus.txt
H37Rv,tb_lowcas9_100ng,P0.5,plus,2.6,1,example_data/counts/exp1/counts_P0_5_plus.txt
H37Rv,tb_lowcas9_100ng,P1,plus,5.4,1,example_data/counts/exp1/counts_P1_plus.txt
H37Rv,tb_lowcas9_100ng,P1.5,plus,8.1,1,example_data/counts/exp1/counts_P1_5_plus.txt
H37Rv,tb_lowcas9_100ng,P2,plus,10.8,1,example_data/counts/exp1/counts_P2_plus.txt
H37Rv,tb_lowcas9_100ng,P3,plus,16.2,1,example_data/counts/exp1/counts_P3_plus.txt
H37Rv,tb_lowcas9_100ng,P4,plus,21.6,1,example_data/counts/exp1/counts_P4_plus.txt
H37Rv,tb_lowcas9_100ng,P5,plus,27.1,1,example_data/counts/exp1/counts_P5_plus.txt
H37Rv,tb_lowcas9_100ng,P6,plus,32.5,1,example_data/counts/exp1/counts_P6_plus.txt
