	orf1	orf2	orf_pair	delta_prime_median	sd_delta_prime_median	prob_interaction_median	correlation	name1	name2
0	RVBD0050	RVBD0050	RVBD0050_RVBD0050	0.1529351598338251	0.0507285781408848	0.002240229965231	1.0	ponA1	ponA1
1	RVBD0050	RVBD0392c	RVBD0050_RVBD0392c	-0.3363529490346602	0.0419138879917099	0.002325279101984	0.1514858744227082	ponA1	ndhA
2	RVBD0050	RVBD1025	RVBD0050_RVBD1025	0.1793976297931647	0.0608570759712741	0.0022641936058481	0.1939002448811705	ponA1	rv1025
3	RVBD0050	RVBD1304	RVBD0050_RVBD1304	0.0080876462031223	0.0444646089767654	0.0021626728671566	0.2066161047950365	ponA1	atpB
4	RVBD0050	RVBD1822	RVBD0050_RVBD1822	0.1450576554961704	0.0587606368661267	0.0022337055373732	0.2068672640031327	ponA1	pgsA2
5	RVBD0050	RVBD1854c	RVBD0050_RVBD1854c	0.2907917313184349	0.0972292866708598	0.0024018602931483	0.1825898696669964	ponA1	ndh
6	RVBD0050	RVBD2193	RVBD0050_RVBD2193	0.1811921314205036	0.0518741107818449	0.0022659344545206	0.2905023664590943	ponA1	ctaE
7	RVBD0050	RVBD2200c	RVBD0050_RVBD2200c	-0.3988846781024881	0.060004846701838	0.0024123341132516	0.224719381245106	ponA1	ctaC
8	RVBD0050	RVBD2447c	RVBD0050_RVBD2447c	0.2166822201363213	0.0690739884112405	0.0023034631741884	0.1401978501762939	ponA1	folC
9	RVBD0050	RVBD2754c	RVBD0050_RVBD2754c	-0.6297330880826457	0.0568550415189723	0.0029417851197472	0.332648125226088	ponA1	thyX
10	RVBD0050	RVBD2764c	RVBD0050_RVBD2764c	-1.5477358552248668	0.1127228286996096	0.017049289232755	0.4282125607437191	ponA1	thyA
11	RVBD0050	RVBD2794c	RVBD0050_RVBD2794c	-0.06343750033058	0.0525172371871207	0.0021560930403355	0.229100698491343	ponA1	pptT
12	RVBD0050	RVBD3261	RVBD0050_RVBD3261	0.0451755523881223	0.0546054918702654	0.0021741991643085	0.1159869515442129	ponA1	fbiA
13	RVBD0050	RVBD3682	RVBD0050_RVBD3682	-13.93594090420845	0.8584658445014377	1.0	0.1067950539251146	ponA1	ponA2
14	RVBD0050	RVBD3795	RVBD0050_RVBD3795	-0.8391352658861093	0.1399842728401082	0.0038353796272197	0.3927205587303886	ponA1	embB
15	RVBD0392c	RVBD0392c	RVBD0392c_RVBD0392c	-1.8078800680937888	0.0683072476539556	0.0366982697346167	1.0	ndhA	ndhA
16	RVBD0392c	RVBD1025	RVBD0392c_RVBD1025	-0.4741033245372277	0.052989347667254	0.0025457045935974	0.1518808625785846	ndhA	rv1025
17	RVBD0392c	RVBD1304	RVBD0392c_RVBD1304	-1.559237858741708	0.0519106103773955	0.0175961863653279	0.3871577632187646	ndhA	atpB
18	RVBD0392c	RVBD1822	RVBD0392c_RVBD1822	-0.1692541387478261	0.0510739518639611	0.0021840749183285	0.0777999963023428	ndhA	pgsA2
19	RVBD0392c	RVBD1854c	RVBD0392c_RVBD1854c	-9.666745118919916	0.4961504515375595	1.0	0.3571975921028348	ndhA	ndh
20	RVBD0392c	RVBD2193	RVBD0392c_RVBD2193	-1.4482481146458013	0.0570542325449713	0.0130981300382096	0.304307006075752	ndhA	ctaE
21	RVBD0392c	RVBD2200c	RVBD0392c_RVBD2200c	-1.78859039551133	0.0750424713834267	0.0345463200410576	0.3304113036369607	ndhA	ctaC
22	RVBD0392c	RVBD2447c	RVBD0392c_RVBD2447c	-0.5332122823384413	0.0669923330604883	0.002675267539535	0.3877239081621073	ndhA	folC
23	RVBD0392c	RVBD2754c	RVBD0392c_RVBD2754c	-1.1292273351956332	0.046907793297437	0.0063289509500861	0.5598162932589372	ndhA	thyX
24	RVBD0392c	RVBD2764c	RVBD0392c_RVBD2764c	-0.9571939909853484	0.0857332672882898	0.0046157122172026	0.3611650061852537	ndhA	thyA
25	RVBD0392c	RVBD2794c	RVBD0392c_RVBD2794c	-0.3544346008045476	0.0454893105134451	0.0023483739510764	0.4321459486322739	ndhA	pptT
26	RVBD0392c	RVBD3261	RVBD0392c_RVBD3261	-0.8007320233057503	0.0591374210857945	0.0036311887096236	0.4129726991441692	ndhA	fbiA
27	RVBD0392c	RVBD3682	RVBD0392c_RVBD3682	-0.1562617936082904	0.0447000085303952	0.0021781823627478	0.1459584749298039	ndhA	ponA2
28	RVBD0392c	RVBD3795	RVBD0392c_RVBD3795	-1.269970818646514	0.109217509157516	0.0085291892501878	0.2935996101845965	ndhA	embB
29	RVBD1025	RVBD1025	RVBD1025_RVBD1025	-3.1484082032509964	0.1272707379995331	0.9415853106583087	1.0	rv1025	rv1025
30	RVBD1025	RVBD1304	RVBD1025_RVBD1304	0.0636504500491121	0.0482733543417373	0.0021820401099949	0.2399891795821115	rv1025	atpB
31	RVBD1025	RVBD1822	RVBD1025_RVBD1822	-0.1951905799150637	0.0600360898286286	0.0021979425042855	0.4074378460485984	rv1025	pgsA2
32	RVBD1025	RVBD1854c	RVBD1025_RVBD1854c	0.5503701955330358	0.0829933444572185	0.0030131649676148	0.225428554490002	rv1025	ndh
33	RVBD1025	RVBD2193	RVBD1025_RVBD2193	0.4291656178812477	0.0685005281386294	0.0026686920001148	0.3119360324877401	rv1025	ctaE
34	RVBD1025	RVBD2200c	RVBD1025_RVBD2200c	-0.0546223674589119	0.0720603189009113	0.002155797610815	0.214045584234131	rv1025	ctaC
35	RVBD1025	RVBD2447c	RVBD1025_RVBD2447c	-0.4369787559947877	0.0965701782056622	0.0024757359978984	0.2707860084258918	rv1025	folC
36	RVBD1025	RVBD2754c	RVBD1025_RVBD2754c	-0.1573056948217664	0.0629007870781778	0.0021786300322948	0.3465673786942359	rv1025	thyX
37	RVBD1025	RVBD2764c	RVBD1025_RVBD2764c	-0.2599843346658356	0.0943310478308155	0.0022451771869217	0.2743369938916946	rv1025	thyA
38	RVBD1025	RVBD2794c	RVBD1025_RVBD2794c	-0.122245210507131	0.0612020048341187	0.0021660395692268	0.3420273647552987	rv1025	pptT
39	RVBD1025	RVBD3261	RVBD1025_RVBD3261	-0.0647831639991161	0.0649256123713025	0.0021561656435838	0.0830495406485371	rv1025	fbiA
40	RVBD1025	RVBD3682	RVBD1025_RVBD3682	-0.5479882162001826	0.0592145291458824	0.0027114122294906	-0.0710610625232845	rv1025	ponA2
41	RVBD1025	RVBD3795	RVBD1025_RVBD3795	-0.4350714345558284	0.1348279613071054	0.0024723642688226	0.2129331831565635	rv1025	embB
42	RVBD1304	RVBD1304	RVBD1304_RVBD1304	-3.387383646934774	0.0891225835171257	0.9853535565232924	1.0	atpB	atpB
43	RVBD1304	RVBD1822	RVBD1304_RVBD1822	-0.0357410379239685	0.0627498053253021	0.0021562099447992	0.2895797800164085	atpB	pgsA2
44	RVBD1304	RVBD1854c	RVBD1304_RVBD1854c	-0.3915425977899898	0.0735732242960648	0.0024010442816091	0.3346869791223662	atpB	ndh
45	RVBD1304	RVBD2193	RVBD1304_RVBD2193	-0.3552014223216997	0.0475688700584602	0.0023493898410365	0.4796699680417374	atpB	ctaE
46	RVBD1304	RVBD2200c	RVBD1304_RVBD2200c	-0.6510550022577837	0.0552611289979785	0.0030111437907807	0.4277811241951643	atpB	ctaC
47	RVBD1304	RVBD2447c	RVBD1304_RVBD2447c	-0.01994134099582	0.0556578363230419	0.0021576512137716	0.3873904994773298	atpB	folC
48	RVBD1304	RVBD2754c	RVBD1304_RVBD2754c	-0.3075418415279184	0.0577817664837639	0.0022918163160563	0.3996183574118268	atpB	thyX
49	RVBD1304	RVBD2764c	RVBD1304_RVBD2764c	-1.066197342061716	0.0816899093059481	0.0056023915768887	0.3360465611938887	atpB	thyA
50	RVBD1304	RVBD2794c	RVBD1304_RVBD2794c	0.0815675350179553	0.0395438123419865	0.002190995407851	0.3189084934071796	atpB	pptT
51	RVBD1304	RVBD3261	RVBD1304_RVBD3261	-0.2569545500061054	0.0544032793750347	0.0022425569605485	0.2470319342487549	atpB	fbiA
